analysis_facility_id,facility_code,fiscal_year,prefecture,facility_name,year_started,lag_year_started,facility_age_years,lag_facility_age_years,capacity_t_day,lag_capacity_t_day,name_changed,year_started_forward,year_reset,age_reset,pathway_category,pathway_basis
0121001002,0121001002,2019,北海道,いわみざわ環境クリーンプラザ　焼却施設,2015.0,1992.0,4.0,26.0,100.0,4.8,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0210120,0210120,2023,青森県,クリーンセンターしもきた,2024.0,2024.0,0.0,0.0,86.0,86.0,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
0220101001,0220101001,2015,青森県,青森市清掃工場,2015.0,1976.0,0.0,38.0,300.0,450.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0220101002,0220101002,2013,青森県,新ごみ処理施設（名称未定）,2015.0,1970.0,0.0,39.0,300.0,180.0,True,True,True,True,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
0286101001,0286101001,2006,青森県,アックス・グリーン,2002.0,2002.0,4.0,3.0,140.0,140.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0387301001,0387301001,2019,岩手県,胆江地区衛生センター,1994.0,1994.0,25.0,24.0,240.0,240.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0410018,0410018,2022,宮城県,大崎広域中央クリーンセンター,2022.0,1988.0,0.0,33.0,140.0,120.0,False,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0486901002,0486901002,2016,宮城県,岩沼東部環境センター,2016.0,1983.0,0.0,32.0,157.0,120.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0486901003,0486901003,2015,宮城県,岩沼東部環境センター,2016.0,1993.0,0.0,16.0,157.0,75.0,True,True,True,True,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
0493201001,0493201001,2018,宮城県,仙南クリーンセンター,2017.0,1992.0,1.0,25.0,200.0,120.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0510005,0510005,2022,秋田県,大館クリーンセンター,2005.0,2005.0,17.0,16.0,90.0,90.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0520301001,0520301001,2017,秋田県,クリーンプラザよこて,2015.0,1983.0,2.0,33.0,95.0,80.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0520301002,0520301002,2016,秋田県,クリーンプラザよこて,2015.0,1992.0,1.0,23.0,95.0,60.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0683101001,0683101001,2019,山形県,エネルギー回収施設(立谷川),2017.0,1978.0,2.0,40.0,150.0,180.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0683101002,0683101002,2018,山形県,エネルギー回収施設(立谷川),2017.0,1978.0,1.0,39.0,150.0,180.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0720101002,0720101002,2009,福島県,あらかわクリーンセンター,2008.0,1977.0,1.0,31.0,220.0,180.0,False,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0720401002,0720401002,2017,福島県,北部清掃センター,1981.0,1981.0,36.0,35.0,300.0,300.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0782001002,0782001002,2016,福島県,須賀川地方衛生センターごみ処理施設(新設),2019.0,1990.0,0.0,19.0,95.0,100.0,True,True,True,True,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
0785301001,0785301001,2013,福島県,田村西部環境センター,2006.0,1996.0,7.0,13.0,40.0,30.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0785301002,0785301002,2009,福島県,田村西部環境センター,2006.0,2006.0,3.0,2.0,40.0,40.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0810213,0810213,2021,茨城県,霞台厚生施設組合クリーンセンター,2021.0,2021.0,0.0,0.0,215.0,215.0,True,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0910012,0910012,2021,栃木県,広域クリーンセンター大田原,2002.0,2002.0,19.0,18.0,120.0,120.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0920401002,0920401002,2013,栃木県,佐野市みかもクリーンセンター,2006.0,2004.0,7.0,5.0,128.0,79.5,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0920501001,0920501001,2015,栃木県,環境クリーンセンター（ごみ処理施設）,1994.0,1994.0,21.0,20.0,88.5,177.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
0920601001,0920601001,2013,栃木県,日光市クリーンセンター,2010.0,1990.0,3.0,19.0,135.0,40.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0921301001,0921301001,2013,栃木県,那須塩原クリーンセンター,2009.0,1993.0,4.0,16.0,140.0,56.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0985201002,0985201002,2017,栃木県,小山広域保健衛生組合中央清掃センター70t焼却炉,2016.0,1986.0,1.0,30.0,70.0,160.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
0985201003,0985201003,2016,栃木県,小山広域保健衛生組合中央清掃センター70t焼却炉,2016.0,2016.0,0.0,0.0,70.0,70.0,True,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1020101002,1020101002,2013,群馬県,前橋市六供清掃工場,1991.0,1977.0,22.0,30.0,405.0,25.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1110001002,1110001002,2015,埼玉県,さいたま市東部環境センター,1984.0,1982.0,31.0,32.0,300.0,300.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1110001006,1110001006,2014,埼玉県,さいたま市桜環境センター,2015.0,2015.0,0.0,0.0,380.0,380.0,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1110020,1110020,2022,埼玉県,狭山市稲荷山環境センター(旧名称：　狭山市第二環境センター),1996.0,1996.0,26.0,25.0,165.0,165.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1120101002,1120101002,2019,埼玉県,川越市資源化センター熱回収施設,2010.0,1986.0,9.0,32.0,265.0,140.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1120301003,1120301003,2013,埼玉県,川口市朝日環境センター,2002.0,1975.0,11.0,33.0,420.0,300.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1120801002,1120801002,2013,埼玉県,所沢市東部クリーンセンターごみ焼却施設,2003.0,1989.0,10.0,20.0,230.0,148.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1123901001,1123901001,2016,埼玉県,坂戸市西清掃センター,1994.0,1994.0,22.0,21.0,80.0,80.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1124501001,1124501001,2017,埼玉県,ふじみ野市・三芳町環境センター,2016.0,1974.0,1.0,42.0,142.0,180.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1124501002,1124501002,2015,埼玉県,ふじみ野市・三芳町環境センター,2016.0,1997.0,0.0,12.0,142.0,60.0,True,True,True,True,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1186301001,1186301001,2014,埼玉県,秩父広域市町村圏組合秩父クリーンセンター,1997.0,1997.0,17.0,16.0,150.0,150.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1210044,1210044,2024,千葉県,環境衛生センターごみ処理場1・2・3号炉,1995.0,1995.0,29.0,28.0,225.0,81.0,True,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1210220,1210220,2022,千葉県,我孫子市クリーンセンター,2023.0,2023.0,0.0,0.0,120.0,120.0,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1221101001,1221101001,2013,千葉県,成田富里いずみ清掃工場,2012.0,1978.0,1.0,31.0,212.0,144.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1286301001,1286301001,2007,千葉県,環境衛生センターごみ処理場,1999.0,1996.0,8.0,11.0,144.0,81.0,False,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1310042,1310042,2022,東京都,東京二十三区清掃一部事務組合大田清掃工場第一工場,1989.0,1989.0,33.0,32.0,600.0,600.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1310253,1310253,2021,東京都,立川市クリーンセンタ－（建設中）,2022.0,2022.0,0.0,0.0,120.0,120.0,False,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1310255,1310255,2022,東京都,東京二十三区清掃一部事務組合目黒清掃工場,2022.0,2022.0,0.0,0.0,600.0,600.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1320101003,1320101003,2019,東京都,（仮称）新館清掃施設,2022.0,1994.0,0.0,23.0,160.0,100.0,True,True,True,True,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1320301001,1320301001,2017,東京都,武蔵野クリーンセンター,2017.0,1984.0,0.0,32.0,120.0,195.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1384401001,1384401001,2015,東京都,西秋川衛生組合高尾清掃センター　熱回収施設（焼却施設）,2013.0,1978.0,2.0,36.0,117.0,150.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1420301001,1420301001,2015,神奈川県,環境事業センター,2013.0,1988.0,2.0,26.0,315.0,294.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1420501001,1420501001,2006,神奈川県,藤沢市北部環境事業所,1972.0,1972.0,34.0,33.0,300.0,300.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1481501002,1481501002,2013,神奈川県,秦野市伊勢原市環境衛生組合はだのクリーンセンター,2012.0,1985.0,1.0,21.0,200.0,90.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1481801003,1481801003,2018,神奈川県,高座クリーンセンターじん芥処理施設,2019.0,2019.0,0.0,0.0,122.5,122.5,True,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
1510001002,1510001002,2016,新潟県,新潟市鎧潟クリーンセンター,2001.0,1995.0,15.0,20.0,120.0,144.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1520401001,1520401001,2013,新潟県,三条市清掃センター流動床式ガス化溶融炉,2012.0,1973.0,1.0,36.0,80.0,84.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1521001001,1521001001,2015,新潟県,エコクリーンセンター,1993.0,1993.0,22.0,21.0,135.0,90.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1521201001,1521201001,2015,新潟県,村上市ごみ処理場（エコパークむらかみ）,2015.0,1989.0,0.0,25.0,94.0,150.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1522201002,1522201002,2019,新潟県,上越市クリーンセンター,2017.0,1995.0,2.0,23.0,170.0,98.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1690001001,1690001001,2014,富山県,高岡広域エコ・クリーンセンター,2014.0,2014.0,0.0,0.0,255.0,255.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1720301001,1720301001,2019,石川県,エコロジーパークこまつ（クリーンセンター）,2018.0,1983.0,1.0,35.0,110.0,150.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
1810072,1810072,2021,福井県,第１清掃センター,2021.0,2021.0,0.0,0.0,84.0,84.0,True,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
1882501001,1882501001,2016,福井県,清掃センター,1995.0,1995.0,21.0,20.0,222.0,222.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
2010011,2010011,2022,長野県,穂高クリーンセンターごみ焼却施設,2020.0,1994.0,2.0,27.0,120.0,150.0,False,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
2084801002,2084801002,2018,長野県,（仮称）長野広域連合Ｂ焼却施設,2021.0,2021.0,0.0,0.0,100.0,100.0,True,True,False,False,Forward-dated / placeholder entry,Forward-dated `year_started` or placeholder/new-build naming at event row
2093301001,2093301001,2019,長野県,上伊那クリーンセンター,2018.0,1993.0,1.0,25.0,118.0,30.0,True,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
2120101001,2120101001,2015,岐阜県,掛洞プラント,1979.0,1979.0,36.0,35.0,150.0,150.0,False,False,False,False,In-place upgrade / continuity transition,No observed start-year reset; continuity row remains in service at adoption
2210001003,2210001003,2013,静岡県,西ケ谷清掃工場,2010.0,1975.0,3.0,34.0,500.0,285.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
2210039,2210039,2023,静岡県,湖西市環境センター,2023.0,1998.0,0.0,24.0,102.0,120.0,False,False,True,True,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
2213001001,2213001001,2015,静岡県,浜松市南部清掃工場,1981.0,1974.0,34.0,40.0,450.0,360.0,True,False,True,False,Reset / rebuild-like transition,Observed reset in `year_started` or mature-to-new age reset before adoption
